Edge: thinkie
Batch sizes: [1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096]

 batch    submit      wait     total    tasks/s
-----------------------------------------------
     1    0.007s    0.005s    0.013s       78.5
     2    0.008s    0.006s    0.014s      139.9
     4    0.012s    0.009s    0.021s      192.0
     8    0.020s    0.010s    0.030s      267.5
    16    0.036s    0.016s    0.051s      312.9
    32    0.057s    0.019s    0.077s      417.1
    64    0.113s    0.036s    0.149s      430.3
   128    0.219s    0.064s    0.283s      451.6
   256    0.583s    0.108s    0.691s      370.7
   512    1.486s    0.306s    1.792s      285.8
  1024    4.589s    0.383s    4.972s      206.0
  2048   15.122s    0.958s   16.079s      127.4
